Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
DCB Bank,3.8k,3.4k,Banking - Mumbai +326 other locations,9.3k,6k,241,Work Life Balance,Promotions / Appraisal
Viatris,4.2k,3.4k,"Pharma - Hyderabad , Secunderabad +75 other locations",13.6k,5.9k,5,"Salary & Benefits, Job Security, Work Life Balance",
Berger Paints,3.7k,3.4k,Chemicals - Kolkata +302 other locations,8.9k,5k,208,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Bank of America,4.2k,3.4k,"Banking - Gurgaon , Gurugram +33 other locations",26k,2.4k,2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Publicis Sapient,3.5k,3.4k,"IT Services & Consulting - Bangalore , Bengaluru +44 other locations",27.4k,7.9k,263,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Jubilant Foods Works,3.7k,3.4k,Hospitality - New Delhi +233 other locations,8.2k,2.6k,116,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
American Express,4.1k,3.4k,"Financial Services - Gurgaon , Gurugram +49 other locations",21.6k,4.1k,158,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
PVR Inox,3.9k,3.4k,Media & Entertainment - New Delhi +148 other locations,9.2k,4.1k,7,Skill Development / Learning,Promotions / Appraisal
Hindalco Industries,4.2k,3.4k,Metals & Mining - Sambalpur +112 other locations,10.9k,3.3k,11,"Job Security, Work Life Balance, Skill Development / Learning",
Jindal Steel and Power,3.9k,3.4k,Iron & Steel - Angul +154 other locations,14.1k,1.9k,32,Skill Development / Learning,Promotions / Appraisal
Subros,3.8k,3.4k,Auto Components - Noida +79 other locations,11.9k,1.7k,2,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Lenskart,3.2k,3.4k,Internet - New Delhi +211 other locations,11.1k,1.6k,141,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Automatic Data Processing (ADP),4.0k,3.3k,"Software Product - Hyderabad , Secunderabad +37 other locations",20.3k,5.3k,27,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
RBL Bank,3.6k,3.3k,Banking - Mumbai +253 other locations,17.1k,2.2k,32,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Alembic Pharmaceuticals,4.0k,3.3k,Pharma - Vadodara +171 other locations,14.3k,745,70,"Salary & Benefits, Work Life Balance",
Pidilite Industries,4.3k,3.3k,Chemicals - Mumbai +280 other locations,10.2k,1.7k,1,"Job Security, Company Culture, Work Life Balance",
Samvardhana Motherson Group,3.7k,3.3k,Auto Components - Noida +86 other locations,12.1k,2.4k,16,Job Security,"Company Culture, Work Life Balance, Work Satisfaction"
Godrej & Boyce Manufacturing,3.9k,3.3k,Consumer Electronics & Appliances - Mumbai +143 other locations,14.7k,3k,39,Job Security,Promotions / Appraisal
